,AIC,BIC,FPE,HQIC
1,2.908,2.909,18.31,2.908
2,2.313,2.316,10.11,2.314
3,2.023,2.027,7.558,2.024
4,1.97,1.976,7.173,1.972
5,1.954,1.961,7.06,1.956
6,1.905,1.913,6.72,1.907
7,1.871,1.88,6.494,1.874
8,1.862,1.872,6.437,1.865
9,1.857,1.868,6.403,1.86
10,1.846,1.859,6.336,1.85
11,1.826,1.84,6.211,1.83
12,1.823,1.838,6.191,1.828
13,1.81,1.827,6.111,1.815
14,1.762,1.78,5.825,1.767
15,1.681,1.7,5.371,1.687
16,1.6,1.62,4.954,1.606
17,1.497,1.519,4.47,1.504
18,1.421,1.444,4.142,1.428
19,1.378,1.402,3.967,1.385
20,1.358,1.384,3.89,1.366
21,1.346,1.372,3.842,1.354
22,1.344,1.371,3.833,1.352
23,1.337,1.366,3.808,1.346
24,1.326,1.357,3.767,1.335
25,1.296,1.327,3.653,1.305
26,1.271,1.304,3.565,1.281
27,1.256,1.29,3.511,1.266
28,1.252,1.287,3.496,1.262
29,1.25,1.287,3.492,1.261
30,1.243,1.281,3.466,1.254
31,1.232,1.271,3.427,1.243
32,1.225,1.266,3.405,1.237
33,1.222,1.263,3.394,1.234
34,1.217,1.26,3.378,1.23
35,1.215,1.259,3.371,1.228
36,1.215,1.26,3.369,1.228
37,1.213,1.259,3.363,1.226
38,1.209,1.257,3.35,1.223
39,1.204,1.253,3.333,1.218
40,1.197,1.248,3.312,1.212
41,1.196,1.247,3.305,1.211
42,1.193,1.246,3.298,1.209
43,1.193,1.247,3.296,1.209
44,1.192,1.247,3.294,1.208
45,1.191,1.248,3.291,1.208
46,1.19,1.248,3.287,1.207
47,1.188,1.247,3.279,1.205
48,1.182,1.242,3.261,1.2
49,1.179,1.241,3.251,1.197
50,1.178,1.24,3.246,1.196
51,1.176,1.24,3.241,1.195
52,1.175,1.24,3.238,1.194
53,1.174,1.24,3.234,1.193
54,1.172,1.24,3.23,1.192
55,1.171,1.24,3.225,1.191
56,1.171,1.241,3.224,1.191
57,1.171,1.242,3.224,1.192
58,1.17,1.243,3.223,1.192
59,1.17,1.244,3.221,1.191
60,1.169,1.244,3.219,1.191
61,1.168,1.245,3.217,1.191
62,1.168,1.246,3.217,1.191
63,1.168,1.247,3.216,1.191
64,1.167,1.248,3.213,1.191
65,1.166,1.248,3.21,1.19
66,1.165,1.248,3.207,1.19
67,1.165,1.249,3.205,1.189
68,1.164,1.249,3.202,1.189
69,1.164,1.25,3.201,1.189
70,1.163,1.251,3.2,1.189
71,1.162,1.251,3.198,1.189
72,1.16,1.25,3.19,1.186